Gebyr, omsætning og deltager opgørelse pr. år (Daniel);;;;;;;;;;;;;;;;;;;;;;;;;;;
Genereret d. 11. jul. 2025 09.56.29;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode start;Arrangør;Vores gebyr;Medlemssystem gebyr;Event gebyr;Arrangør omsætning;Deltagere;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Svendborg Jagtforening, skydning;50;0;50;1525;8;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Skægkær Blæserne, skbl;442;0;442;18700;94;;;;;;;;;;;;;;;;;;;;;
2017.01.01;EVD - Landsforeningen En Værdig Død, evd-slettes;216;0;216;7050;66;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Grenaa, kod-grenaa;630;0;630;53200;175;;;;;;;;;;;;;;;;;;;;;
2017.01.01;DJ Kreds 1, dj-kreds1;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Roskilde Airshow, roskildeairshow;35198;0;35198;1427370;11464;;;;;;;;;;;;;;;;;;;;;
2017.01.01;KFUM-Spejderne Brøndby/Vallensbæk, strandboerne3;376;0;376;30200;98;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Ålbæk, fdfaalbaek;194;0;194;12030;72;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Ribe, kod-ribe;916;0;916;107575;229;;;;;;;;;;;;;;;;;;;;;
2017.01.01;DJ Kreds 3, dj-kreds3;560;0;560;9600;112;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Tåsinge, fdftaasinge;79;0;79;8025;30;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Spejdernes Administrationsfællesskab, saf;228;0;228;38000;36;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Allan Andersen, allan;9;0;9;3;3;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Just Dance Studios, jds;1791;0;1791;29980;417;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Hadbjerg skole, hadbjerg-skole;1114;0;1114;11660;268;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Danmarks Jægerforbund, dj-kursus;24512;0;24512;1263840;2017;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Silkeborg 2, fdfsilkeborg2;256;0;256;43275;99;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Marlon Buriti, marlonburiti;4;0;4;1;1;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Lunderskov, fdflunderskov;337;0;337;25200;127;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Vind, fdfvind;64;0;64;8250;20;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Brønderslev, kod-broenderslev;276;0;276;39690;69;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Give, fdfgive;299;0;299;37500;179;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Lystrup Svømning, lifsvoem;23735;0;23735;2789908;5579;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Gråbrødre/Odense Gruppe, graabroedreodensegruppe;2;0;2;130;47;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Agersted, fdfagersted;75;0;75;13025;28;;;;;;;;;;;;;;;;;;;;;
2017.01.01;De Danske Danseskoler, ddd;103691;0;103691;2711945;23185;;;;;;;;;;;;;;;;;;;;;
2017.01.01;KFUM-Spejderne Ringe, kfum-spejderne-i-ringe;279;0;279;36375;75;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Aars, kod-aars;859;0;859;74745;245;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Øster Hornum, fdfoesterhornum;159;0;159;12830;62;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Visse, fdfvisse;76;0;76;4650;31;;;;;;;;;;;;;;;;;;;;;
2017.01.01;IQ Crypto Conference 2017, iqcrypto;358;0;358;36625;70;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FFI Gymnastik, ffi-gymnastik;2792;0;2792;97230;600;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Gl. Rye, fdfglrye;866;0;866;114040;322;;;;;;;;;;;;;;;;;;;;;
2017.01.01;KFUM Skærbæk Gruppe, skaerbaekgruppe;116;0;116;31800;53;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Sulsted-Tylstrup Gruppe, st;280;0;280;23186;47;;;;;;;;;;;;;;;;;;;;;
2017.01.01;NOR: Nordic Health House, nor;6610;0;6610;992429;663;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Århus Børnefilm, aarhusboernefilm;7825;0;7825;156500;3154;;;;;;;;;;;;;;;;;;;;;
2017.01.01;UdeskoleNet, udeskolenet--gammel-;767;0;767;30075;222;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Mejrup Gruppe, mejrupgruppe;359;0;359;58770;126;;;;;;;;;;;;;;;;;;;;;
2017.01.01;KFUM-Spejderne - Strandboerne, strandboerne;82;0;82;2700;45;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Sorgenfri Kirke, sorgenfrikirkedk;2628;0;2628;53105;852;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Hendriksholm, fdfhendriksholm;494;0;494;61930;197;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kommunikationspilot, kommunikationspilot;8;0;8;0;2;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Grenaa Amatørteater, grenaa-amatoerteater;2186;0;2186;107510;525;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Vejle, kod-vejle;892;0;892;96750;223;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans København, kod-koebenhavn;135;0;135;9400;40;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Spejdercentret Thorup Hede, thoruphede;3105;0;3105;154440;720;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Odense 11 Næsby, fdfodense11naesby;159;0;159;26550;59;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Danmarks Bridgeforbund, dbf;13265;0;13265;1080775;2451;;;;;;;;;;;;;;;;;;;;;
2017.01.01;KFUM-Spejdernes Brass Band, kfumbb;44;0;44;8100;16;;;;;;;;;;;;;;;;;;;;;
2017.01.01;The Italian Chamber of Commerce in Denmark, danita;0;0;0;0;39;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Randers, kod-randers;1110;0;1110;100192;297;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Budskab, budskab;7;0;7;950;1;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Gudenå Distrikt, gudenaa-distrikt;31;0;31;5800;57;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Ørslev-Vordingborg, fdforslevvordingborg;72;0;72;7800;44;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Danmark, komogdans;1074;0;1074;79837;9779;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Golf-event, golf-event;2751;0;2751;484850;197;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF K 2, fdfk2;192;0;192;17600;72;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Gammel-Demo af stadeplads, demostadeplads;0;0;0;0;15;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Lystrup Svømning, oktoberfest;1765;0;1765;120375;325;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Bjergby-Mygdal Gruppe, bjergby-mygdalgruppe;55;0;55;18750;25;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Hjortshøj, fdfhjortshoej;1087;0;1087;129900;366;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Suldrup, fdfsuldrup;151;0;151;14632;56;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Silkeborg, kod-silkeborg;991;0;991;89250;253;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Det Damgaardske Teaterselskab, det-damgaardske-tea;1302;0;1302;29600;296;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Lysart, lysart;19;0;19;2397;3;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Aalborg Søkreds, fdfaalborgsoekreds;23;0;23;1400;10;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Home Concerts, homeconcerts;145;0;145;8400;28;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Boldklubben Enghaven, enghaven;246;0;246;20500;41;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Tjæreborg, fdftjaereborg;2;0;2;125;1;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Danske Ølentusiaster, ale;5279;0;5279;77750;161;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kähler Villa Dining, kahlervilladining;349;0;349;35249;50;;;;;;;;;;;;;;;;;;;;;
2017.01.01;MTB 7130+, mtb7130;499;0;499;23760;193;;;;;;;;;;;;;;;;;;;;;
2017.01.01;SLETTES FDF Viby J, slettes-fdfvibyj;204;0;204;15840;96;;;;;;;;;;;;;;;;;;;;;
2017.01.01;SLETTES - Hornslet Løb & MTB, sletteshornsletloebm;547;0;547;24525;223;;;;;;;;;;;;;;;;;;;;;
2017.01.01;DJ Kreds 4, dj-kreds4;699;0;699;22230;144;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Group Bornholm ApS, strikbornholm;641;0;641;67299;266;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Danske Slotsudstillinger ApS, mithjemermitslot;5474;0;5474;139520;1255;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Horsens, kod-horsens;1105;0;1105;119855;328;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Lystrup Masters, lystrupmasters;116;0;116;9150;20;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Dante Alighieri Sydøst, dante-sydost;601;0;601;31100;141;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Thisted, kod-thisted;335;0;335;38100;82;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Tommerup St., fdftommerupst;97;0;97;18325;36;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Haderup-Feldborg, fdfhaderupfeldborg;250;0;250;25200;84;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Korsvejen, fdfkorsvejen;197;0;197;21900;73;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Den Sociale Dag, densocialedag;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2017.01.01;4leif, 4leif;268;0;268;7100;60;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Esbjerg, kod-esbjerg;2401;0;2401;208807;560;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Kragelund, fdfkragelund;404;0;404;52000;144;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Vrå Gruppe, vraa;26;0;26;2900;12;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Roskilde, roskildefdf;30;0;30;700;7;;;;;;;;;;;;;;;;;;;;;
2017.01.01;TUBA, tuba;2709;0;2709;411317;268;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Elbospejderne, Det Danske Spejderkorps, elbospejde;232;0;232;29100;29;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Henrik Munkholm, henrikmunkholm;78;0;78;2550;17;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Holstebro, kod-holstebro;1464;0;1464;126975;366;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Aarhus Central Food Market, aarhuscentralfoodmarke;493;0;493;19961;87;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF F 4, fdff4;679;0;679;99930;191;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Serritslev Jagtforening, serritslev-jagtforening;73;0;73;4350;30;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Checkin, checkin;0;0;0;0;195;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Golflogen, golflogen;721;0;721;78350;204;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Randers Freja Håndbold, randersfrejahaandbold;0;0;0;0;138;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Lystrup Gruppe, lystrupgruppe;1755;0;1755;176700;866;;;;;;;;;;;;;;;;;;;;;
2017.01.01;0. A Elsted Skole, 0a;122;0;122;4550;76;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Vejle 1, fdfvejle1;191;0;191;37650;71;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Danmarks Gymnastik Forbund, gymdanmark;5632;0;5632;128000;1432;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Gråsten, fdfgraasten;62;0;62;6300;21;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Herlufmagle Gruppe, herlufmagle-gruppe;1513;0;1513;120285;647;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Nørholm Sogn, noerholm-sogn;0;0;0;0;150;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Svendborg Jagtforening, jagt;1331;0;1331;145960;249;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kunst & kultursalonen, kunstkultursalonen;89;0;89;2350;13;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Hørning, fdfhoerning;143;0;143;19975;53;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Mads Vad Performance ApS, madsvad;282;0;282;10500;57;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Søren, soeren;0;0;0;0;2;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Viborg, kod-viborg;1814;0;1814;124120;569;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Rock på Heden - Herning og Holstebro, rock-paa-hed;1594;0;1594;261100;220;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Danmark, kod-den-lukkede;0;0;0;0;429;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Karlslunde, fdfkarlslunde;8;0;8;1050;3;;;;;;;;;;;;;;;;;;;;;
2017.01.01;VM Dans, vmdans;23213;0;23213;682582;6522;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Glyngøre, fdfglyngoere;36;0;36;5000;10;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Bredstrup-Pjedsted-Revyen, bredstrup-pjedsted-revy;120;0;120;6160;24;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Åbyhøj Gruppe, aabyhoejgruppegruppesitedk;272;0;272;44175;124;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Odder, fdfodder;185;0;185;19950;89;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Anna Hjorth, anna-hjorth;5324;0;5324;253000;1065;;;;;;;;;;;;;;;;;;;;;
2017.01.01;CPC Marketing, cpcsocial;0;0;0;0;9;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Aarhus MTB, aarhus-mtb;3442;0;3442;270400;715;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Initiativet Randers, tpg;177;0;177;7377;37;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Jelling, fdfjelling;116;0;116;20725;43;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Roskilde Gruppe, roskildegruppe;576;0;576;66050;1040;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Hame-gruppen, hame-gruppen;200;0;200;34014;32;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Demo af medlemssystem, demomedlemssystem;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Sæby, kod-saeby;477;0;477;54495;125;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Balle, fdfballe;351;0;351;44870;130;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Landsdel 1, fdflandsdel1;450;0;450;29400;168;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Bjerringbro, kod-bjerringbro;180;0;180;22250;45;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF, fdf;21856;0;21856;4482336;4713;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Fredensvang, fdffredensvang;895;0;895;106575;362;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Snak om det, snakomdet;95;0;95;6550;51;;;;;;;;;;;;;;;;;;;;;
2017.01.01;DCU, dcu;730;0;730;49695;133;;;;;;;;;;;;;;;;;;;;;
2017.01.01;GD, gd;833;0;833;129300;77;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Arnborg, fdfarnborg;738;0;738;40275;360;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Adams Yoga v/Adam Jørgensen, adamsyoga;57;0;57;1428;17;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Dante Alighieri Aarhus, dante-alighieri-aarhus;3052;0;3052;295120;570;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Y's Men Region Danmark, skalslettes051218;11279;0;11279;947805;10039;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Gavnø Fonden, gavnoe;1780;0;1780;40900;88;;;;;;;;;;;;;;;;;;;;;
2017.01.01;TV 2 LORRY, tv2lorry;1857;0;1857;32400;432;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Hadsten Gruppe, hadstengruppe;1284;0;1284;181050;397;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Maibritt Sunesen, maibritt;0;0;0;0;106;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Lyngby-Trustrup, fdflyngbytrustrup;18;0;18;1214;7;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Aarhus, kod-aarhus;856;0;856;86725;214;;;;;;;;;;;;;;;;;;;;;
2017.01.01;KFUM Skærbæk Gruppe, kfum-skaerbaek;566;0;566;56700;85;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Frivillig vagtplandemo, demovagtplan;0;0;0;0;7;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Copenhagen Yoga Festival, copenhagenyogafestival;11691;0;11691;862890;1771;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Flemming Efterskole, flemmingefterskole;842;0;842;114720;96;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF K 7 Frihavn, fdfk7frihavn;102;0;102;11600;41;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Bistrup Gruppe, bistrupgruppe;741;0;741;50930;463;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Skjoldhøj Gruppe, skjoldhojgruppe;458;0;458;60500;153;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Aabybro, kod-aabybro;808;0;808;85020;202;;;;;;;;;;;;;;;;;;;;;
2017.01.01;KFUM-Spejderne Søndersø , sonderso-gruppe;0;0;0;0;80;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Lukket 2024-01-10 11:29:26, atelier-nedlukket;928;0;928;115000;213;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Aarhus Børnehøjskole, aarhusboernehoejskole;38;0;38;1592;8;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Aktiv i Forening 4160, aif4160;731;0;731;22973;199;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Elevforeningen ved Musik- og Teaterhøjskolen, glem;612;0;612;26010;135;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Akademisk Kor Århus, akademisk-kor-aarhus;2100;0;2100;31500;523;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Flexbillet ApS, flexbillet;0;0;0;0;10;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Nørager, fdfnoerager;202;0;202;20475;73;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Virksomhedsteori.dk, virksomhedsteori;318;0;318;57500;26;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Herning Skolebio, herningskolebio;13830;0;13830;351875;5600;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Dante Sydvest, dante-sydvest;201;0;201;10650;61;;;;;;;;;;;;;;;;;;;;;
2017.01.01;GR8Conf Europe, gr8conf;2625;0;2625;499378;157;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Brenderup-Harndrup, fdfbrenderupharndrup;229;0;229;24675;85;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Havdrup, fdfhavdrup;877;0;877;63715;480;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Tina Bjørn, tina-bjoern;140;0;140;10225;24;;;;;;;;;;;;;;;;;;;;;
2017.01.01;DOFO, dofo;0;0;0;0;1;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Roskilde , kod-roskilde;208;0;208;25500;91;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Hasle-Åbyhøj, fdfhasleaabyhoej;342;0;342;40275;127;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF K 27 Lundehus Sogn, fdfk27lundehussogn;80;0;80;9100;22;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Aulum, flexbilletdkfdfdkaulum;256;0;256;56350;98;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Lisbjerg Fritidsliv, lisbjerg-fritidsliv;1459;0;1459;136900;477;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Odense 14 Ansgar, fdfodenseansgar;470;0;470;42862;176;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Mørkhøj, fdfmoerkhoej;205;0;205;16625;76;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Herning, kod-herning;1032;0;1032;116050;259;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Strandskaden, strandskaden---natur--og-kulturformi;2649;0;2649;57325;604;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kølles-Køkken  V/ Torben Køhler, koelles-koekken;30;0;30;1730;6;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Nørre Uttrup, fdfnruttrup;289;0;289;23725;129;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Landsforeningen Spor, spor;177;0;177;4471;71;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Søften og Foldby Kirker, soeftenfoldbykirker;0;0;0;0;51;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Korsør, fdfkorsoer;10;0;10;850;4;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Italien Information Service AS, iis;6623;0;6623;1529587;139;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Højene Gruppe, hoejene-spejder;251;0;251;45300;38;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Hardsyssel Efterskole, hardsyssel-efterskole;8;0;8;1000;1;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Vonge-Kollemorten Gruppe, vonge-kollemortengruppe;184;0;184;4705;137;;;;;;;;;;;;;;;;;;;;;
2017.01.01;1. Lyngby-Lundtofte Gruppe, 1lyngby-lundtoftegrupp;19;0;19;800;8;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Laurbjerg, kod-laurbjerg;412;0;412;33925;127;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Lars Kjærsgaard, 25-aars-jubilaeum;145;0;145;5425;31;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Baderiget Marselisborg, slettes-badeklubbenmarseli;2358;0;2358;224600;697;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF F 6 Flintholm, fdff6;0;0;0;0;11;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Add Value, addvalue;0;0;0;0;40;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Dansk Kano og Kajakforbund, dansk-kano-og-kajakfor;1158;0;1158;44700;245;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Sct. Johannes Gruppe - Herning, sctjohannesgruppe-;481;0;481;21275;198;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Marselis Distrikt, marselis-distrikt;366;0;366;21020;153;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Landskreds, fdflandskreds;259;0;259;37206;96;;;;;;;;;;;;;;;;;;;;;
2017.01.01;KarriereCoach, karrierecoach;0;0;0;0;76;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF K 5, fdfk5dk;57;0;57;4700;21;;;;;;;;;;;;;;;;;;;;;
2017.01.01;The Danish Church in London, danskekirkelondon;2901;0;2901;352520;546;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Aarhus 2, fdfaarhus2;306;0;306;43675;98;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kalundborg Rock'er, kalundborg-rocker;352;0;352;23425;44;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Esbjerg Skolebio, esbjergskolebio;2910;0;2910;87300;1881;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Andelslandsbyen Nyvang, nyvang;1500;0;1500;61872;421;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Kolding, kod-kolding;1413;0;1413;150950;369;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Kolding 2, fdfkolding2;29;0;29;1650;11;;;;;;;;;;;;;;;;;;;;;
2017.01.01;TRAPHOLT, trapholt;11869;0;11869;604285;4364;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Odontologisk Forening, odontologiskforening;4160;0;4160;197100;1615;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Overlund, fdfoverlund;148;0;148;21675;55;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Danmarks Jægerforbund, dj-aktiviteter;22885;0;22885;739038;4985;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Snejbjergspejder, spejderneslejr-snejbjerg;200;0;200;30000;20;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Flexkaffe, flexkaffe;0;0;0;0;5;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Aalborg, kod-aalborg;2405;0;2405;262250;532;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og Dans Skælskør, kod-skaelskoer;416;0;416;10400;104;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Aarhus Vocal Festival, aavf17;12800;0;12800;1108060;4751;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Ringsted, fdfringsted;75;0;75;11200;30;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Center for ADHD, centerforadhd;2759;0;2759;431943;261;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Ellebæk Spejderne, 3holstebroellebaekgruppe;135;0;135;6750;114;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Aktivitetsudvalget på Campus Aarhus N, aktivitetsu;1292;0;1292;41100;807;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Kom og dans Ringkøbing, kod-ringkoebing;416;0;416;56375;104;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Todbjerg-Mejlby Gruppe, todbjerg-mejlbygruppe;139;0;139;14100;63;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Skæring Kirke, skaeringkirke;601;0;601;16390;134;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Naturstyrelsen, naturstyrelsen;20354;0;20354;4243625;1150;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Børn i klemme, barn-i-klemme;71;0;71;1800;19;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Bolund Gruppe, bolundgruppe;116;0;116;14100;37;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Ålborg Universitet, aalborg-universitet;571;0;571;58800;84;;;;;;;;;;;;;;;;;;;;;
2017.01.01;Home Opera, homeopera;1264;0;1264;118070;218;;;;;;;;;;;;;;;;;;;;;
2017.01.01;FDF Flexminds, fdfflexminds;8;0;8;300;1;;;;;;;;;;;;;;;;;;;;;
